"08/09/2020";"16:30:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000014  ";"VIGOR ACADEMIA                ";"00:00:30";"CN";"26490";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000017  ";"CARNES E QUEIJOS              ";"00:00:30";"CN";"26501";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000024  ";"MAQUINA DE LAVAR SAMSUNG      ";"00:00:30";"CN";"26492";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000016  ";"PAI E FILHA                   ";"00:00:30";"CN";"26493";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000013  ";"FESTIVAL DE MUSICA DE BRODOSKY";"00:00:30";"CN";"26502";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000012  ";"LANCHES COM A TURMA           ";"00:00:30";"CN";"26503";"TARD"
"08/09/2020";"16:30:00";"EXIBIDO";"CO000008  ";"ANIVERSÁRIO PÃO DE AÇUCAR     ";"00:00:30";"CN";"26494";"TARD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000014  ";"VIGOR ACADEMIA                ";"00:00:30";"CN";"26490";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000024  ";"MAQUINA DE LAVAR SAMSUNG      ";"00:00:30";"CN";"26492";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000016  ";"PAI E FILHA                   ";"00:00:30";"CN";"26493";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000013  ";"FESTIVAL DE MUSICA DE BRODOSKY";"00:00:30";"CN";"26502";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000008  ";"ANIVERSÁRIO PÃO DE AÇUCAR     ";"00:00:30";"CN";"26494";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000018  ";"FEIRA ROLDÃO                  ";"00:00:30";"CN";"26501";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"NVTD"
"08/09/2020";"18:00:00";"EXIBIDO";"CO000012  ";"LANCHES COM A TURMA           ";"00:00:30";"CN";"26503";"NVTD"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000014  ";"VIGOR ACADEMIA                ";"00:00:30";"CN";"26490";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000013  ";"FESTIVAL DE MUSICA DE BRODOSKY";"00:00:30";"CN";"26502";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000024  ";"MAQUINA DE LAVAR SAMSUNG      ";"00:00:30";"CN";"26492";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000016  ";"PAI E FILHA                   ";"00:00:30";"CN";"26493";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000019  ";"PALMITOS E MOLHOS             ";"00:00:30";"CN";"26501";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000012  ";"LANCHES COM A TURMA           ";"00:00:30";"CN";"26503";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000008  ";"ANIVERSÁRIO PÃO DE AÇUCAR     ";"00:00:30";"CN";"26494";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000011  ";"CAFÉ DA MANHÃ JB              ";"00:00:45";"CN";"26498";"JNTE"
"08/09/2020";"19:00:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"JNTE"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000014  ";"VIGOR ACADEMIA                ";"00:00:30";"CN";"26490";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000024  ";"MAQUINA DE LAVAR SAMSUNG      ";"00:00:30";"CN";"26492";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000011  ";"CAFÉ DA MANHÃ JB              ";"00:00:45";"CN";"26498";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000016  ";"PAI E FILHA                   ";"00:00:30";"CN";"26493";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000020  ";"ARROZ E FEIJÃO                ";"00:00:30";"CN";"26501";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000012  ";"LANCHES COM A TURMA           ";"00:00:30";"CN";"26503";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000008  ";"ANIVERSÁRIO PÃO DE AÇUCAR     ";"00:00:30";"CN";"26494";"NOV1"
"08/09/2020";"20:15:00";"EXIBIDO";"CO000013  ";"FESTIVAL DE MUSICA DE BRODOSKY";"00:00:30";"CN";"26502";"NOV1"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000014  ";"VIGOR ACADEMIA                ";"00:00:30";"CN";"26490";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000024  ";"MAQUINA DE LAVAR SAMSUNG      ";"00:00:30";"CN";"26492";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000016  ";"PAI E FILHA                   ";"00:00:30";"CN";"26493";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000008  ";"ANIVERSÁRIO PÃO DE AÇUCAR     ";"00:00:30";"CN";"26494";"NOV2"
"08/09/2020";"21:05:00";"EXIBIDO";"CO000021  ";"PAPELARIA                     ";"00:00:30";"CN";"26501";"NOV2"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"CASA"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000012  ";"LANCHES COM A TURMA           ";"00:00:30";"CN";"26503";"CASA"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000017  ";"CARNES E QUEIJOS              ";"00:00:30";"CN";"26501";"CASA"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000011  ";"CAFÉ DA MANHÃ JB              ";"00:00:45";"CN";"26498";"CASA"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000013  ";"FESTIVAL DE MUSICA DE BRODOSKY";"00:00:30";"CN";"26502";"CASA"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"CASA"
"08/09/2020";"22:00:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"CASA"
"08/09/2020";"23:30:00";"EXIBIDO";"CO000014  ";"VIGOR ACADEMIA                ";"00:00:30";"CN";"26490";"JNFD"
"08/09/2020";"23:30:00";"EXIBIDO";"CO000024  ";"MAQUINA DE LAVAR SAMSUNG      ";"00:00:30";"CN";"26492";"JNFD"
"08/09/2020";"23:30:00";"EXIBIDO";"CO000016  ";"PAI E FILHA                   ";"00:00:30";"CN";"26493";"JNFD"
"08/09/2020";"23:30:00";"EXIBIDO";"CO000008  ";"ANIVERSÁRIO PÃO DE AÇUCAR     ";"00:00:30";"CN";"26494";"JNFD"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000009  ";"PRIMAVERA PERNAMBUCANAS       ";"00:00:30";"CN";"26495";"PGMJ"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000017  ";"CARNES E QUEIJOS              ";"00:00:30";"CN";"26501";"PGMJ"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000011  ";"CAFÉ DA MANHÃ JB              ";"00:00:45";"CN";"26498";"PGMJ"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000010  ";"SHOW DE PREMIOS GAROTO        ";"00:00:30";"CN";"26497";"PGMJ"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000013  ";"FESTIVAL DE MUSICA DE BRODOSKY";"00:00:30";"CN";"26502";"PGMJ"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000015  ";"DIGITAL PRA VC                ";"00:00:15";"CN";"26500";"PGMJ"
"09/09/2020";"00:30:00";"EXIBIDO";"CO000012  ";"LANCHES COM A TURMA           ";"00:00:30";"CN";"26503";"PGMJ"

